============================================================
ROWS WITH EMPTY TARGET COLUMN
============================================================
Timestamp: 2025-12-11 15:38:34
Total rows with empty column: 4675
Row 509: Target column is empty
Row 510: Target column is empty
Row 511: Target column is empty
Row 512: Target column is empty
Row 513: Target column is empty
Row 514: Target column is empty
Row 515: Target column is empty
Row 516: Target column is empty
Row 517: Target column is empty
Row 518: Target column is empty
Row 519: Target column is empty
Row 520: Target column is empty
Row 521: Target column is empty
Row 522: Target column is empty
Row 523: Target column is empty
Row 524: Target column is empty
Row 525: Target column is empty
Row 526: Target column is empty
Row 527: Target column is empty
Row 528: Target column is empty
Row 529: Target column is empty
Row 530: Target column is empty
Row 531: Target column is empty
Row 532: Target column is empty
Row 533: Target column is empty
Row 534: Target column is empty
Row 535: Target column is empty
Row 536: Target column is empty
Row 537: Target column is empty
Row 538: Target column is empty
Row 539: Target column is empty
Row 540: Target column is empty
Row 541: Target column is empty
Row 542: Target column is empty
Row 543: Target column is empty
Row 544: Target column is empty
Row 545: Target column is empty
Row 546: Target column is empty
Row 547: Target column is empty
Row 548: Target column is empty
Row 549: Target column is empty
Row 550: Target column is empty
Row 551: Target column is empty
Row 552: Target column is empty
Row 553: Target column is empty
Row 554: Target column is empty
Row 555: Target column is empty
Row 556: Target column is empty
Row 557: Target column is empty
Row 558: Target column is empty
Row 559: Target column is empty
Row 560: Target column is empty
Row 561: Target column is empty
Row 562: Target column is empty
Row 563: Target column is empty
Row 564: Target column is empty
Row 565: Target column is empty
Row 566: Target column is empty
Row 567: Target column is empty
Row 568: Target column is empty
Row 569: Target column is empty
Row 570: Target column is empty
Row 571: Target column is empty
Row 572: Target column is empty
Row 573: Target column is empty
Row 574: Target column is empty
Row 575: Target column is empty
Row 576: Target column is empty
Row 577: Target column is empty
Row 578: Target column is empty
Row 579: Target column is empty
Row 580: Target column is empty
Row 581: Target column is empty
Row 582: Target column is empty
Row 583: Target column is empty
Row 584: Target column is empty
Row 585: Target column is empty
Row 586: Target column is empty
Row 587: Target column is empty
Row 588: Target column is empty
Row 589: Target column is empty
Row 590: Target column is empty
Row 591: Target column is empty
Row 592: Target column is empty
Row 593: Target column is empty
Row 594: Target column is empty
Row 595: Target column is empty
Row 596: Target column is empty
Row 597: Target column is empty
Row 598: Target column is empty
Row 599: Target column is empty
Row 600: Target column is empty
Row 601: Target column is empty
Row 602: Target column is empty
Row 603: Target column is empty
Row 604: Target column is empty
Row 605: Target column is empty
Row 606: Target column is empty
Row 607: Target column is empty
Row 608: Target column is empty
Row 609: Target column is empty
Row 610: Target column is empty
Row 611: Target column is empty
Row 612: Target column is empty
Row 613: Target column is empty
Row 614: Target column is empty
Row 615: Target column is empty
Row 616: Target column is empty
Row 617: Target column is empty
Row 618: Target column is empty
Row 619: Target column is empty
Row 620: Target column is empty
Row 621: Target column is empty
Row 622: Target column is empty
Row 623: Target column is empty
Row 624: Target column is empty
Row 625: Target column is empty
Row 626: Target column is empty
Row 627: Target column is empty
Row 628: Target column is empty
Row 629: Target column is empty
Row 630: Target column is empty
Row 631: Target column is empty
Row 632: Target column is empty
Row 633: Target column is empty
Row 634: Target column is empty
Row 635: Target column is empty
Row 636: Target column is empty
Row 637: Target column is empty
Row 638: Target column is empty
Row 639: Target column is empty
Row 640: Target column is empty
Row 641: Target column is empty
Row 642: Target column is empty
